employee_id,date,category,amount,description,approval_status,source_row
E101,2026-09-02,Meals,62.00,Presentation demo item 1,approved,2
E102,2026-09-03,Office,99.00,Presentation demo item 2,approved,3
E111,2026-09-12,Meals,432.00,Presentation demo item 11,approved,12
E113,2026-09-14,Software,506.00,Presentation demo item 13,approved,14
E117,2026-09-18,Office,654.00,Presentation demo item 17,approved,18
E119,2026-09-20,Training,728.00,Presentation demo item 19,approved,20
E122,2026-09-23,Office,839.00,Presentation demo item 22,approved,23
E123,2026-09-24,Software,876.00,Presentation demo item 23,approved,24
E126,2026-09-27,Meals,87.00,Presentation demo item 26,approved,27
E129,2026-09-02,Training,198.00,Presentation demo item 29,approved,30
E131,2026-09-04,Meals,272.00,Presentation demo item 31,approved,32
E134,2026-09-07,Training,383.00,Presentation demo item 34,approved,35
E137,2026-09-10,Office,494.00,Presentation demo item 37,approved,38
E138,2026-09-11,Software,531.00,Presentation demo item 38,approved,39
E141,2026-09-14,Meals,642.00,Presentation demo item 41,approved,42
E143,2026-09-16,Software,716.00,Presentation demo item 43,approved,44
E146,2026-09-19,Meals,827.00,Presentation demo item 46,approved,47
E147,2026-09-20,Office,864.00,Presentation demo item 47,approved,48
E153,2026-09-26,Software,186.00,Presentation demo item 53,approved,54
E158,2026-09-03,Software,371.00,Presentation demo item 58,approved,59
E159,2026-09-04,Training,408.00,Presentation demo item 59,approved,60
E161,2026-09-06,Meals,482.00,Presentation demo item 61,approved,62
E162,2026-09-07,Office,519.00,Presentation demo item 62,approved,63
E167,2026-09-12,Office,704.00,Presentation demo item 67,approved,68
