source_row,employee_id,reason,raw_values
4,E103,Amount is not a valid number,"{'employee_id': 'E103', 'date': '2026-09-04', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation demo item 3', 'approval_status': 'approved'}"
5,E104,Expense rejected by approval status: rejected,"{'employee_id': 'E104', 'date': '2026-09-05', 'category': 'Training', 'amount': '173.00', 'description': 'Presentation demo item 4', 'approval_status': 'rejected'}"
6,E105,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E105', 'date': 'invalid-date', 'category': 'Travel', 'amount': '210.00', 'description': 'Presentation demo item 5', 'approval_status': 'approved'}"
7,E106,Amount is not a valid number,"{'employee_id': 'E106', 'date': '2026-09-07', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation demo item 6', 'approval_status': 'approved'}"
8,E107,Amount must be greater than zero,"{'employee_id': 'E107', 'date': '2026-09-08', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation demo item 7', 'approval_status': 'approved'}"
9,E108,Expense rejected by approval status: rejected,"{'employee_id': 'E108', 'date': '2026-09-09', 'category': 'Software', 'amount': '321.00', 'description': 'Presentation demo item 8', 'approval_status': 'rejected'}"
10,E109,Amount is not a valid number,"{'employee_id': 'E109', 'date': '2026-09-10', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation demo item 9', 'approval_status': 'approved'}"
11,E110,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E110', 'date': 'invalid-date', 'category': 'Travel', 'amount': '395.00', 'description': 'Presentation demo item 10', 'approval_status': 'approved'}"
13,E112,Amount is not a valid number,"{'employee_id': 'E112', 'date': '2026-09-13', 'category': 'Office', 'amount': 'not-a-number', 'description': 'Presentation demo item 12', 'approval_status': 'rejected'}"
15,E114,Amount must be greater than zero,"{'employee_id': 'E114', 'date': '2026-09-15', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation demo item 14', 'approval_status': 'approved'}"
16,E115,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E115', 'date': 'invalid-date', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation demo item 15', 'approval_status': 'approved'}"
17,E116,Expense rejected by approval status: rejected,"{'employee_id': 'E116', 'date': '2026-09-17', 'category': 'Meals', 'amount': '617.00', 'description': 'Presentation demo item 16', 'approval_status': 'rejected'}"
19,E118,Amount is not a valid number,"{'employee_id': 'E118', 'date': '2026-09-19', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation demo item 18', 'approval_status': 'approved'}"
21,E120,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E120', 'date': 'invalid-date', 'category': 'Travel', 'amount': '765.00', 'description': 'Presentation demo item 20', 'approval_status': 'rejected'}"
22,E121,Amount must be greater than zero,"{'employee_id': 'E121', 'date': '2026-09-22', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation demo item 21', 'approval_status': 'approved'}"
