source_row,employee_id,reason,raw_values
2,E301,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E301', 'date': 'invalid-date', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 1', 'approval_status': 'rejected'}"
3,E302,Amount must be greater than zero,"{'employee_id': 'E302', 'date': '2026-09-03', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 2', 'approval_status': 'rejected'}"
4,E303,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E303', 'date': 'invalid-date', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation log item 3', 'approval_status': 'rejected'}"
5,E304,Amount must be greater than zero,"{'employee_id': 'E304', 'date': '2026-09-05', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 4', 'approval_status': 'declined'}"
6,E305,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E305', 'date': 'invalid-date', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 5', 'approval_status': 'rejected'}"
7,E306,Amount is not a valid number,"{'employee_id': 'E306', 'date': '2026-09-07', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation log item 6', 'approval_status': 'rejected'}"
8,E307,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E307', 'date': 'invalid-date', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 7', 'approval_status': 'rejected'}"
9,E308,Amount must be greater than zero,"{'employee_id': 'E308', 'date': '2026-09-09', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 8', 'approval_status': 'declined'}"
10,E309,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E309', 'date': 'invalid-date', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation log item 9', 'approval_status': 'rejected'}"
11,E310,Amount must be greater than zero,"{'employee_id': 'E310', 'date': '2026-09-11', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 10', 'approval_status': 'rejected'}"
12,E311,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E311', 'date': 'invalid-date', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 11', 'approval_status': 'rejected'}"
13,E312,Amount is not a valid number,"{'employee_id': 'E312', 'date': '2026-09-13', 'category': 'Office', 'amount': 'not-a-number', 'description': 'Presentation log item 12', 'approval_status': 'declined'}"
14,E313,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E313', 'date': 'invalid-date', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 13', 'approval_status': 'rejected'}"
15,E314,Amount must be greater than zero,"{'employee_id': 'E314', 'date': '2026-09-15', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 14', 'approval_status': 'rejected'}"
16,E315,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E315', 'date': 'invalid-date', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation log item 15', 'approval_status': 'rejected'}"
17,E316,Amount must be greater than zero,"{'employee_id': 'E316', 'date': '2026-09-17', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 16', 'approval_status': 'declined'}"
18,E317,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E317', 'date': 'invalid-date', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 17', 'approval_status': 'rejected'}"
19,E318,Amount is not a valid number,"{'employee_id': 'E318', 'date': '2026-09-19', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation log item 18', 'approval_status': 'rejected'}"
20,E319,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E319', 'date': 'invalid-date', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 19', 'approval_status': 'rejected'}"
21,E320,Amount must be greater than zero,"{'employee_id': 'E320', 'date': '2026-09-21', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 20', 'approval_status': 'declined'}"
22,E321,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E321', 'date': 'invalid-date', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation log item 21', 'approval_status': 'rejected'}"
23,E322,Amount must be greater than zero,"{'employee_id': 'E322', 'date': '2026-09-23', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 22', 'approval_status': 'rejected'}"
24,E323,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E323', 'date': 'invalid-date', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 23', 'approval_status': 'rejected'}"
25,E324,Amount is not a valid number,"{'employee_id': 'E324', 'date': '2026-09-25', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation log item 24', 'approval_status': 'declined'}"
26,E325,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E325', 'date': 'invalid-date', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 25', 'approval_status': 'rejected'}"
27,E326,Amount must be greater than zero,"{'employee_id': 'E326', 'date': '2026-09-27', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 26', 'approval_status': 'rejected'}"
28,E327,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E327', 'date': 'invalid-date', 'category': 'Office', 'amount': 'not-a-number', 'description': 'Presentation log item 27', 'approval_status': 'rejected'}"
29,E328,Amount must be greater than zero,"{'employee_id': 'E328', 'date': '2026-09-01', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 28', 'approval_status': 'declined'}"
30,E329,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E329', 'date': 'invalid-date', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 29', 'approval_status': 'rejected'}"
31,E330,Amount is not a valid number,"{'employee_id': 'E330', 'date': '2026-09-03', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation log item 30', 'approval_status': 'rejected'}"
32,E331,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E331', 'date': 'invalid-date', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 31', 'approval_status': 'rejected'}"
33,E332,Amount must be greater than zero,"{'employee_id': 'E332', 'date': '2026-09-05', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 32', 'approval_status': 'declined'}"
34,E333,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E333', 'date': 'invalid-date', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation log item 33', 'approval_status': 'rejected'}"
35,E334,Amount must be greater than zero,"{'employee_id': 'E334', 'date': '2026-09-07', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 34', 'approval_status': 'rejected'}"
36,E335,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E335', 'date': 'invalid-date', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 35', 'approval_status': 'rejected'}"
37,E336,Amount is not a valid number,"{'employee_id': 'E336', 'date': '2026-09-09', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation log item 36', 'approval_status': 'declined'}"
38,E337,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E337', 'date': 'invalid-date', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 37', 'approval_status': 'rejected'}"
39,E338,Amount must be greater than zero,"{'employee_id': 'E338', 'date': '2026-09-11', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 38', 'approval_status': 'rejected'}"
40,E339,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E339', 'date': 'invalid-date', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation log item 39', 'approval_status': 'rejected'}"
41,E340,Amount must be greater than zero,"{'employee_id': 'E340', 'date': '2026-09-13', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 40', 'approval_status': 'declined'}"
42,E341,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E341', 'date': 'invalid-date', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 41', 'approval_status': 'rejected'}"
43,E342,Amount is not a valid number,"{'employee_id': 'E342', 'date': '2026-09-15', 'category': 'Office', 'amount': 'not-a-number', 'description': 'Presentation log item 42', 'approval_status': 'rejected'}"
44,E343,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E343', 'date': 'invalid-date', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 43', 'approval_status': 'rejected'}"
45,E344,Amount must be greater than zero,"{'employee_id': 'E344', 'date': '2026-09-17', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 44', 'approval_status': 'declined'}"
46,E345,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E345', 'date': 'invalid-date', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation log item 45', 'approval_status': 'rejected'}"
47,E346,Amount must be greater than zero,"{'employee_id': 'E346', 'date': '2026-09-19', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 46', 'approval_status': 'rejected'}"
48,E347,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E347', 'date': 'invalid-date', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 47', 'approval_status': 'rejected'}"
49,E348,Amount is not a valid number,"{'employee_id': 'E348', 'date': '2026-09-21', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation log item 48', 'approval_status': 'declined'}"
50,E349,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E349', 'date': 'invalid-date', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 49', 'approval_status': 'rejected'}"
51,E350,Amount must be greater than zero,"{'employee_id': 'E350', 'date': '2026-09-23', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 50', 'approval_status': 'rejected'}"
52,E351,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E351', 'date': 'invalid-date', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation log item 51', 'approval_status': 'rejected'}"
53,E352,Amount must be greater than zero,"{'employee_id': 'E352', 'date': '2026-09-25', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 52', 'approval_status': 'declined'}"
54,E353,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E353', 'date': 'invalid-date', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 53', 'approval_status': 'rejected'}"
55,E354,Amount is not a valid number,"{'employee_id': 'E354', 'date': '2026-09-27', 'category': 'Training', 'amount': 'not-a-number', 'description': 'Presentation log item 54', 'approval_status': 'rejected'}"
56,E355,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E355', 'date': 'invalid-date', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 55', 'approval_status': 'rejected'}"
57,E356,Amount must be greater than zero,"{'employee_id': 'E356', 'date': '2026-09-01', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 56', 'approval_status': 'declined'}"
58,E357,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E357', 'date': 'invalid-date', 'category': 'Office', 'amount': 'not-a-number', 'description': 'Presentation log item 57', 'approval_status': 'rejected'}"
59,E358,Amount must be greater than zero,"{'employee_id': 'E358', 'date': '2026-09-03', 'category': 'Software', 'amount': '-25.00', 'description': 'Presentation log item 58', 'approval_status': 'rejected'}"
60,E359,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E359', 'date': 'invalid-date', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 59', 'approval_status': 'rejected'}"
61,E360,Amount is not a valid number,"{'employee_id': 'E360', 'date': '2026-09-05', 'category': 'Travel', 'amount': 'not-a-number', 'description': 'Presentation log item 60', 'approval_status': 'declined'}"
62,E361,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E361', 'date': 'invalid-date', 'category': 'Meals', 'amount': '-25.00', 'description': 'Presentation log item 61', 'approval_status': 'rejected'}"
63,E362,Amount must be greater than zero,"{'employee_id': 'E362', 'date': '2026-09-07', 'category': 'Office', 'amount': '-25.00', 'description': 'Presentation log item 62', 'approval_status': 'rejected'}"
64,E363,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E363', 'date': 'invalid-date', 'category': 'Software', 'amount': 'not-a-number', 'description': 'Presentation log item 63', 'approval_status': 'rejected'}"
65,E364,Amount must be greater than zero,"{'employee_id': 'E364', 'date': '2026-09-09', 'category': 'Training', 'amount': '-25.00', 'description': 'Presentation log item 64', 'approval_status': 'declined'}"
66,E365,"Unknown datetime string format, unable to parse: invalid-date, at position 0","{'employee_id': 'E365', 'date': 'invalid-date', 'category': 'Travel', 'amount': '-25.00', 'description': 'Presentation log item 65', 'approval_status': 'rejected'}"
67,E366,Amount is not a valid number,"{'employee_id': 'E366', 'date': '2026-09-11', 'category': 'Meals', 'amount': 'not-a-number', 'description': 'Presentation log item 66', 'approval_status': 'rejected'}"
