employee_id,date,category,amount,description,approval_status
E101,2026-09-02,Meals,62.00,Presentation demo item 1,approved
E102,2026-09-03,Office,99.00,Presentation demo item 2,approved
E103,2026-09-04,Software,not-a-number,Presentation demo item 3,approved
E104,2026-09-05,Training,173.00,Presentation demo item 4,rejected
E105,invalid-date,Travel,210.00,Presentation demo item 5,approved
E106,2026-09-07,Meals,not-a-number,Presentation demo item 6,approved
E107,2026-09-08,Office,-25.00,Presentation demo item 7,approved
E108,2026-09-09,Software,321.00,Presentation demo item 8,rejected
E109,2026-09-10,Training,not-a-number,Presentation demo item 9,approved
E110,invalid-date,Travel,395.00,Presentation demo item 10,approved
E111,2026-09-12,Meals,432.00,Presentation demo item 11,approved
E112,2026-09-13,Office,not-a-number,Presentation demo item 12,rejected
E113,2026-09-14,Software,506.00,Presentation demo item 13,approved
E114,2026-09-15,Training,-25.00,Presentation demo item 14,approved
E115,invalid-date,Travel,not-a-number,Presentation demo item 15,approved
E116,2026-09-17,Meals,617.00,Presentation demo item 16,rejected
E117,2026-09-18,Office,654.00,Presentation demo item 17,approved
E118,2026-09-19,Software,not-a-number,Presentation demo item 18,approved
E119,2026-09-20,Training,728.00,Presentation demo item 19,approved
E120,invalid-date,Travel,765.00,Presentation demo item 20,rejected
E121,2026-09-22,Meals,-25.00,Presentation demo item 21,approved
E122,2026-09-23,Office,839.00,Presentation demo item 22,approved
E123,2026-09-24,Software,876.00,Presentation demo item 23,approved
E124,2026-09-25,Training,not-a-number,Presentation demo item 24,rejected
E125,invalid-date,Travel,50.00,Presentation demo item 25,approved
E126,2026-09-27,Meals,87.00,Presentation demo item 26,approved
E127,2026-09-28,Office,not-a-number,Presentation demo item 27,approved
E128,2026-09-01,Software,-25.00,Presentation demo item 28,rejected
E129,2026-09-02,Training,198.00,Presentation demo item 29,approved
E130,invalid-date,Travel,not-a-number,Presentation demo item 30,approved
E131,2026-09-04,Meals,272.00,Presentation demo item 31,approved
E132,2026-09-05,Office,309.00,Presentation demo item 32,rejected
E133,2026-09-06,Software,not-a-number,Presentation demo item 33,approved
E134,2026-09-07,Training,383.00,Presentation demo item 34,approved
E135,invalid-date,Travel,-25.00,Presentation demo item 35,approved
E136,2026-09-09,Meals,not-a-number,Presentation demo item 36,rejected
E137,2026-09-10,Office,494.00,Presentation demo item 37,approved
E138,2026-09-11,Software,531.00,Presentation demo item 38,approved
E139,2026-09-12,Training,not-a-number,Presentation demo item 39,approved
E140,invalid-date,Travel,605.00,Presentation demo item 40,rejected
E141,2026-09-14,Meals,642.00,Presentation demo item 41,approved
E142,2026-09-15,Office,-25.00,Presentation demo item 42,approved
E143,2026-09-16,Software,716.00,Presentation demo item 43,approved
E144,2026-09-17,Training,753.00,Presentation demo item 44,rejected
E145,invalid-date,Travel,not-a-number,Presentation demo item 45,approved
E146,2026-09-19,Meals,827.00,Presentation demo item 46,approved
E147,2026-09-20,Office,864.00,Presentation demo item 47,approved
E148,2026-09-21,Software,not-a-number,Presentation demo item 48,rejected
E149,2026-09-22,Training,-25.00,Presentation demo item 49,approved
E150,invalid-date,Travel,75.00,Presentation demo item 50,approved
E151,2026-09-24,Meals,not-a-number,Presentation demo item 51,approved
E152,2026-09-25,Office,149.00,Presentation demo item 52,rejected
E153,2026-09-26,Software,186.00,Presentation demo item 53,approved
E154,2026-09-27,Training,not-a-number,Presentation demo item 54,approved
E155,invalid-date,Travel,260.00,Presentation demo item 55,approved
E156,2026-09-01,Meals,-25.00,Presentation demo item 56,rejected
E157,2026-09-02,Office,not-a-number,Presentation demo item 57,approved
E158,2026-09-03,Software,371.00,Presentation demo item 58,approved
E159,2026-09-04,Training,408.00,Presentation demo item 59,approved
E160,invalid-date,Travel,not-a-number,Presentation demo item 60,rejected
E161,2026-09-06,Meals,482.00,Presentation demo item 61,approved
E162,2026-09-07,Office,519.00,Presentation demo item 62,approved
E163,2026-09-08,Software,-25.00,Presentation demo item 63,approved
E164,2026-09-09,Training,593.00,Presentation demo item 64,rejected
E165,invalid-date,Travel,630.00,Presentation demo item 65,approved
E166,2026-09-11,Meals,not-a-number,Presentation demo item 66,approved
E167,2026-09-12,Office,704.00,Presentation demo item 67,approved
E168,2026-09-13,Software,741.00,Presentation demo item 68,rejected
E169,2026-09-14,Training,not-a-number,Presentation demo item 69,approved
E170,invalid-date,Travel,-25.00,Presentation demo item 70,approved
