employee_id,date,category,amount,description,approval_status
E301,invalid-date,Meals,-25.00,Presentation log item 1,rejected
E302,2026-09-03,Office,-25.00,Presentation log item 2,rejected
E303,invalid-date,Software,not-a-number,Presentation log item 3,rejected
E304,2026-09-05,Training,-25.00,Presentation log item 4,declined
E305,invalid-date,Travel,-25.00,Presentation log item 5,rejected
E306,2026-09-07,Meals,not-a-number,Presentation log item 6,rejected
E307,invalid-date,Office,-25.00,Presentation log item 7,rejected
E308,2026-09-09,Software,-25.00,Presentation log item 8,declined
E309,invalid-date,Training,not-a-number,Presentation log item 9,rejected
E310,2026-09-11,Travel,-25.00,Presentation log item 10,rejected
E311,invalid-date,Meals,-25.00,Presentation log item 11,rejected
E312,2026-09-13,Office,not-a-number,Presentation log item 12,declined
E313,invalid-date,Software,-25.00,Presentation log item 13,rejected
E314,2026-09-15,Training,-25.00,Presentation log item 14,rejected
E315,invalid-date,Travel,not-a-number,Presentation log item 15,rejected
E316,2026-09-17,Meals,-25.00,Presentation log item 16,declined
E317,invalid-date,Office,-25.00,Presentation log item 17,rejected
E318,2026-09-19,Software,not-a-number,Presentation log item 18,rejected
E319,invalid-date,Training,-25.00,Presentation log item 19,rejected
E320,2026-09-21,Travel,-25.00,Presentation log item 20,declined
E321,invalid-date,Meals,not-a-number,Presentation log item 21,rejected
E322,2026-09-23,Office,-25.00,Presentation log item 22,rejected
E323,invalid-date,Software,-25.00,Presentation log item 23,rejected
E324,2026-09-25,Training,not-a-number,Presentation log item 24,declined
E325,invalid-date,Travel,-25.00,Presentation log item 25,rejected
E326,2026-09-27,Meals,-25.00,Presentation log item 26,rejected
E327,invalid-date,Office,not-a-number,Presentation log item 27,rejected
E328,2026-09-01,Software,-25.00,Presentation log item 28,declined
E329,invalid-date,Training,-25.00,Presentation log item 29,rejected
E330,2026-09-03,Travel,not-a-number,Presentation log item 30,rejected
E331,invalid-date,Meals,-25.00,Presentation log item 31,rejected
E332,2026-09-05,Office,-25.00,Presentation log item 32,declined
E333,invalid-date,Software,not-a-number,Presentation log item 33,rejected
E334,2026-09-07,Training,-25.00,Presentation log item 34,rejected
E335,invalid-date,Travel,-25.00,Presentation log item 35,rejected
E336,2026-09-09,Meals,not-a-number,Presentation log item 36,declined
E337,invalid-date,Office,-25.00,Presentation log item 37,rejected
E338,2026-09-11,Software,-25.00,Presentation log item 38,rejected
E339,invalid-date,Training,not-a-number,Presentation log item 39,rejected
E340,2026-09-13,Travel,-25.00,Presentation log item 40,declined
E341,invalid-date,Meals,-25.00,Presentation log item 41,rejected
E342,2026-09-15,Office,not-a-number,Presentation log item 42,rejected
E343,invalid-date,Software,-25.00,Presentation log item 43,rejected
E344,2026-09-17,Training,-25.00,Presentation log item 44,declined
E345,invalid-date,Travel,not-a-number,Presentation log item 45,rejected
E346,2026-09-19,Meals,-25.00,Presentation log item 46,rejected
E347,invalid-date,Office,-25.00,Presentation log item 47,rejected
E348,2026-09-21,Software,not-a-number,Presentation log item 48,declined
E349,invalid-date,Training,-25.00,Presentation log item 49,rejected
E350,2026-09-23,Travel,-25.00,Presentation log item 50,rejected
E351,invalid-date,Meals,not-a-number,Presentation log item 51,rejected
E352,2026-09-25,Office,-25.00,Presentation log item 52,declined
E353,invalid-date,Software,-25.00,Presentation log item 53,rejected
E354,2026-09-27,Training,not-a-number,Presentation log item 54,rejected
E355,invalid-date,Travel,-25.00,Presentation log item 55,rejected
E356,2026-09-01,Meals,-25.00,Presentation log item 56,declined
E357,invalid-date,Office,not-a-number,Presentation log item 57,rejected
E358,2026-09-03,Software,-25.00,Presentation log item 58,rejected
E359,invalid-date,Training,-25.00,Presentation log item 59,rejected
E360,2026-09-05,Travel,not-a-number,Presentation log item 60,declined
E361,invalid-date,Meals,-25.00,Presentation log item 61,rejected
E362,2026-09-07,Office,-25.00,Presentation log item 62,rejected
E363,invalid-date,Software,not-a-number,Presentation log item 63,rejected
E364,2026-09-09,Training,-25.00,Presentation log item 64,declined
E365,invalid-date,Travel,-25.00,Presentation log item 65,rejected
E366,2026-09-11,Meals,not-a-number,Presentation log item 66,rejected
E367,invalid-date,Office,-25.00,Presentation log item 67,rejected
E368,2026-09-13,Software,-25.00,Presentation log item 68,declined
E369,invalid-date,Training,not-a-number,Presentation log item 69,rejected
E370,2026-09-15,Travel,-25.00,Presentation log item 70,rejected
E371,invalid-date,Meals,-25.00,Presentation log item 71,rejected
E372,2026-09-17,Office,not-a-number,Presentation log item 72,declined
E373,invalid-date,Software,-25.00,Presentation log item 73,rejected
E374,2026-09-19,Training,-25.00,Presentation log item 74,rejected
E375,invalid-date,Travel,not-a-number,Presentation log item 75,rejected
E376,2026-09-21,Meals,-25.00,Presentation log item 76,declined
E377,invalid-date,Office,-25.00,Presentation log item 77,rejected
E378,2026-09-23,Software,not-a-number,Presentation log item 78,rejected
E379,invalid-date,Training,-25.00,Presentation log item 79,rejected
E380,2026-09-25,Travel,-25.00,Presentation log item 80,declined
